,level-1,level-2,level-3,level-4,level-5,member-1,member-2,member-3,member-4,member-5,member-6,limited-1,limited-2,limited-3,compatible-1,compatible-2,compatible-3,compatible-4,compatible-5,compatible-6,compatible-7,compatible-8,compatible-9,productive-1,syntax_role-1,syntax_role-2,syntax_role-3,syntax_role-4,syntax_role-5,syntax_role-6,special-1,special-2,paraphrase-1,paraphrase-2,paraphrase-3,paraphrase-4,paraphrase-5,etymology-1,etymology-2,etymology-3,etymology-4,animated-1,animated-2,animated-3,reference-1,reference-2,reference-3,semantic_role-1,semantic_role-2,semantic_role-3,semantic_role-4,semantic_role-5,semantic_role-6,semantic_role-7,semantic_role-8,semantic_role-9,semantic_role-10,semantic_role-11,semantic_role-12,semantic_role-13,semantic_role-14,semantic_role-15,semantic_role-16,semantic_role-17,semantic_role-18,semantic_role-19,limited_comember-1,limited_comember-2,state-1,state-2,involvement-1,involvement-2,involvement-3,involvement-4,theme_rheme-1,theme_rheme-2,theme_rheme-3,theme_rheme-4,region
lkt-2,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,1,IRR,IRR,IRR,IRR,IRR,IRR,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,North America
lkt-3,0,0,1,0,0,0,1,0,IRR,IRR,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,IRR,IRR,IRR,IRR,IRR,IRR,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,North America
zoh-1,0,0,1,0,0,0,1,0,IRR,IRR,0,ND,ND,1,1,ND,ND,ND,1,ND,ND,ND,IRR,ND,1,ND,1,ND,ND,ND,1,1,0,0,0,0,IRR,1,0,0,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,IRR,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,North America
tee-1,0,0,0,0,1,0,0,1,0,IRR,IRR,IRR,1,ND,1,ND,1,ND,ND,1,1,1,ND,1,1,ND,1,ND,ND,ND,0,0,0,1,0,0,IRR,0,IRR,IRR,ND,ND,1,1,1,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,North America
hop-1,0,0,0,1,0,0,1,0,0,ND,0,ND,ND,1,1,ND,1,ND,ND,1,ND,ND,IRR,1,ND,ND,ND,ND,ND,ND,0,0,ND,1,1,1,IRR,0,0,1,IRR,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,North America
tzh-1,0,0,0,0,1,0,0,1,0,IRR,IRR,IRR,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,0,0,0,0,1,0,0,0,0,0,1,1,ND,0,IRR,IRR,ND,ND,1,1,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,0,0,1,1,ND,ND,ND,ND,ND,ND,ND,ND,North America
cho-1,0,0,0,1,0,0,0,1,ND,IRR,IRR,IRR,ND,1,1,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,1,1,ND,0,0,0,0,1,1,ND,IRR,IRR,IRR,IRR,1,1,1,1,ND,ND,1,ND,1,1,1,1,1,ND,ND,ND,ND,ND,1,1,ND,ND,ND,1,1,ND,ND,1,1,1,ND,ND,ND,1,1,ND,ND,North America
cho-2,0,1,0,0,0,1,0,0,ND,1,IRR,ND,ND,ND,ND,ND,ND,ND,1,1,ND,1,ND,ND,ND,ND,1,ND,ND,IRR,0,0,0,1,0,0,ND,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,1,1,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,North America
cho-3,0,0,1,0,0,0,1,0,0,IRR,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,1,ND,ND,IRR,0,0,0,0,0,0,1,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,North America
cho-4,0,1,0,0,0,1,0,0,ND,1,IRR,ND,ND,ND,0,0,0,0,1,1,0,1,ND,1,ND,ND,1,ND,ND,IRR,0,0,0,1,0,0,ND,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,1,ND,1,ND,ND,ND,ND,ND,ND,1,ND,ND,North America
skd-1,0,0,1,0,0,0,0,0,1,IRR,1,IRR,1,ND,1,ND,ND,ND,IRR,1,IRR,IRR,IRR,1,1,ND,1,1,1,ND,1,1,0,0,0,0,IRR,0,ND,1,IRR,ND,ND,1,1,ND,ND,ND,1,1,ND,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,IRR,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,North America
kwi-1,0,0,0,0,1,0,0,1,0,IRR,IRR,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,0,ND,ND,ND,0,0,0,0,0,1,0,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,South America
ayr-1,1,0,0,0,0,1,0,0,0,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,1,1,0,0,0,0,0,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,IRR,ND,1,IRR,IRR,IRR,IRR,IRR,IRR,IRR,IRR,South America
ayr-2,1,0,0,0,0,1,0,0,0,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,1,1,0,0,0,0,0,1,ND,1,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,IRR,0,1,IRR,IRR,IRR,IRR,IRR,IRR,IRR,IRR,South America
apu-1,1,0,0,0,0,ND,0,0,0,0,0,0,0,0,1,ND,ND,ND,ND,1,ND,1,ND,1,ND,ND,ND,ND,ND,1,0,0,0,0,ND,ND,ND,0,ND,0,ND,1,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,South America
hub-1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,ND,1.0,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1.0,ND,1,0.0,0.0,0.0,0.0,0.0,1.0,ND,ND,1.0,1.0,ND,ND,1.0,1.0,1.0,ND,ND,ND,ND,1.0,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0,ND,ND,ND,ND,1.0,ND,ND,ND,ND,ND,ND,ND,ND,South America
gug-1,0,1,0,0,0,1,1,ND,ND,1,ND,IRR,1,1,1,1,1,1,1,1,ND,1,ND,1,1,0,1,1,0,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,South America
kwa-1,ND,1,0,0,0,1,0,0,0,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,1,ND,ND,1,ND,ND,ND,1,ND,0,0,0,1,1,1,ND,ND,1,1,1,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,South America
mch-1,0,0,1,0,0,0,1,0,0,1,ND,ND,1,ND,1,ND,ND,ND,0,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,1,0,1,0,0,0,ND,ND,1,1,ND,1,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,1,ND,ND,ND,ND,1,ND,ND,South America
alc-1,0,0,1,0,0,0,1,0,ND,IRR,1,0,1,1,1,ND,ND,1,1,ND,ND,ND,ND,1,1,ND,1,1,1,1,1,1,IRR,IRR,IRR,IRR,ND,ND,ND,ND,ND,1,1,1,1,1,ND,1,ND,1,1,1,1,1,ND,ND,1,1,ND,1,1,ND,ND,ND,1,1,ND,ND,1,1,1,ND,ND,ND,1,1,ND,ND,South America
cbr-1,0,0,1,0,0,0,1,0,0,IRR,ND,IRR,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,1,ND,1,0,0,0,0,1,0,IRR,IRR,IRR,IRR,1,ND,1,1,ND,ND,1,ND,ND,ND,ND,1,1,ND,ND,1,1,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,South America
arn-1,1,0,1,0,0,0,1,0,0,1,ND,ND,ND,ND,1,ND,ND,ND,ND,IRR,ND,ND,ND,ND,ND,ND,1,1,1,ND,0,0,0,ND,1,ND,ND,ND,1,1,0,ND,ND,1,ND,1,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,South America
wlv-1,1,0,0,0,0,1,0,0,0,ND,IRR,0,1,1,1,ND,ND,1,1,0,ND,0,1,0,ND,ND,ND,1,1,ND,1,1,IRR,IRR,IRR,IRR,ND,0,1,1,ND,1,1,1,1,1,ND,1,ND,1,1,1,1,1,ND,ND,1,1,ND,ND,ND,ND,ND,ND,1,1,ND,ND,1,1,1,ND,ND,ND,1,1,1,ND,South America
wlv-2,0,0,0,0,1,0,IRR,1,ND,IRR,0,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,0,0,0,1,0,0,ND,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,1,1,ND,ND,South America
wlv-3,0,0,0,0,1,0,0,1,ND,IRR,IRR,IRR,IRR,IRR,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,0,0,0,0,1,0,ND,IRR,IRR,IRR,IRR,ND,ND,1,1,1,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,1,ND,ND,South America
mcb-1,0,0,0,0,1,0,0,1,0,0,0,0,0,ND,1,ND,ND,ND,ND,1,ND,ND,ND,ND,IRR,IRR,IRR,IRR,IRR,IRR,0,0,0,ND,1,ND,ND,0,1,1,ND,1,ND,1,1,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,1,ND,ND,ND,1,1,ND,ND,South America
gvc-1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,ND,ND,1,1.0,1.0,ND,1,ND,1,ND,1,ND,ND,ND,1.0,ND,1,ND,ND,ND,1,0.0,1,0.0,0.0,0.0,ND,ND,1.0,1.0,ND,ND,1.0,1.0,1,1.0,ND,1,1,ND,1,ND,1,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,ND,1.0,ND,ND,1.0,ND,1,ND,1,ND,ND,1.0,ND,ND,South America
pui-1,0,1,0,1,0,1,1,0,ND,1,ND,ND,1,ND,1,ND,ND,ND,1,0,ND,1,ND,ND,1,ND,ND,ND,ND,1,0,0,1,0,1,1,ND,ND,ND,ND,0,1,ND,1,1,1,ND,1,ND,1,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,1,ND,ND,South America
rma-1,1,0,0,0,0,1,0,0,0,1,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,1,1,ND,ND,1,1,1,0,0,0,1,1,1,ND,IRR,IRR,IRR,IRR,ND,ND,1,1,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,1,ND,ND,ND,ND,ND,South America
qwh-1,0,1,0,0,0,1,0,0,0,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,1,0,0,0,0,ND,0,0,0,ND,1,ND,1,1,ND,ND,ND,ND,1,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,South America
qwh-2,0,0,1,0,0,0,0,0,1,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,1,0,0,0,0,ND,ND,ND,1,1,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,South America
ura-1,0,0,1,0,0,0,1,0,0,1,0,ND,ND,ND,1,ND,ND,1,0,ND,ND,ND,ND,ND,1,ND,1,ND,1,ND,1,1,0,0,0,0,0,ND,ND,ND,ND,1,1,1,1,ND,ND,1,1,1,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,South America
xav-1,0,0,1,0,0,0,1,0,0,ND,ND,0,0,0,1,ND,ND,ND,ND,1,ND,ND,ND,ND,1,ND,ND,1,ND,ND,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,1,ND,ND,ND,ND,1,1,ND,ND,ND,ND,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,ND,ND,South America
ese-1,1,0,0,0,0,1,0,0,0,1,ND,ND,1,1,1,ND,ND,ND,1,0,0,0,1,1,1,ND,1,ND,1,1,0,0,0,1,1,0,ND,0,0,1,1,1,1,1,1,1,ND,1,ND,1,1,1,1,1,1,ND,ND,1,ND,ND,1,ND,ND,ND,ND,0,ND,ND,1,1,ND,ND,ND,1,1,1,ND,ND,South America
